week_no,item_code,holiday_flag,holiday_score,grow_score
201934,602,2,0,63
201934,1001,2,0,26
201934,1005,2,0,21
201934,1101,2,0,42
201934,1201,2,0,0
201934,1207,2,0,0
201934,1209,2,0,0
201935,501,2,0.2143,8
201935,601,2,0.2143,63
201935,602,2,0.2143,63
201935,1001,2,0.2143,28
201935,1005,2,0.2143,19
201935,1101,2,0.2143,37
201935,1201,2,0.2143,1
201935,1207,2,0.2143,0
201935,1209,2,0.2143,1
201936,501,2,3,14
201936,601,2,3,63
201936,602,2,3,63
201936,1001,2,3,28
201936,1005,2,3,7
201936,1101,2,3,7
201936,1201,2,3,7
201936,1207,2,3,0
201936,1209,2,3,7
201937,501,4,5.3857,19
201937,601,4,5.3857,68
201937,602,4,5.3857,68
201937,1001,4,5.3857,33
201937,1005,4,5.3857,7
201937,1101,4,5.3857,7
201937,1201,4,5.3857,12
201937,1207,4,5.3857,0
201937,1209,4,5.3857,7
201938,501,2,1,15
201938,601,2,1,70
201938,602,2,1,70
201938,1001,2,1,35
201938,1005,2,1,9
201938,1101,2,1,7
201938,1201,2,1,16
201938,1207,2,1,0
201938,1209,2,1,9
201939,501,2,0,0
201939,601,2,0,70
201939,602,2,0,70
201939,1001,2,0,35
201939,1005,2,0,14
201939,1101,2,0,7
201939,1201,2,0,21
201939,1207,2,0,0
201939,1209,2,0,14
201940,501,3,0,24
201940,601,3,0,76
201940,602,3,0,76
201940,1001,3,0,41
201940,1005,3,0,14
201940,1101,3,0,1
201940,1201,3,0,21
201940,1207,3,0,0
201940,1209,3,0,14
201941,501,3,0,16
201941,601,3,0,77
201941,602,3,0,77
201941,1001,3,0,42
201941,1005,3,0,17
201941,1101,3,0,0
201941,1201,3,0,24
201941,1207,3,0,0
201941,1209,3,0,8
201942,501,2,0,0
201942,601,2,0,77
201942,602,2,0,77
201942,1001,2,0,42
201942,1005,2,0,21
201942,1101,2,0,0
201942,1201,2,0,28
201942,1207,2,0,0
201942,1209,2,0,0
201943,501,2,0,0
201943,601,2,0,77
201943,602,2,0,77
201943,1001,2,0,49
201943,1005,2,0,21
201943,1101,2,0,0
201943,1201,2,0,28
201943,1207,2,0,0
201943,1209,2,0,0
201944,501,2,0,0
201944,601,2,0,44
201944,602,2,0,44
201944,1001,2,0,49
201944,1005,2,0,21
201944,1101,2,0,0
201944,1201,2,0,16
201944,1207,2,0,0
201944,1209,2,0,0
201945,501,2,0,0
201945,601,2,0,0
201945,602,2,0,0
201945,1001,2,0,49
201945,1005,2,0,21
201945,1101,2,0,0
201945,1201,2,0,0
201945,1207,2,0,0
201945,1209,2,0,0
201946,501,2,0,0
201946,601,2,0,0
201946,602,2,0,0
201946,1001,2,0,0
201946,1005,2,0,0
201946,1101,2,0,0
201946,1201,2,0,0
201946,1207,2,0,0
201946,1209,2,0,0
201947,501,2,0,0
201947,601,2,0,0
201947,602,2,0,0
201947,1001,2,0,0
201947,1005,2,0,0
201947,1101,2,0,0
201947,1201,2,0,0
201947,1207,2,0,0
201947,1209,2,0,0
201948,501,2,0,0
201948,601,2,0,0
201948,602,2,0,0
201948,1001,2,0,0
201948,1005,2,0,0
201948,1101,2,0,0
201948,1201,2,0,0
201948,1207,2,0,0
201948,1209,2,0,0
201949,501,2,0,0
201949,601,2,0,0
201949,602,2,0,0
201949,1001,2,0,0
201949,1005,2,0,0
201949,1101,2,0,0
201949,1201,2,0,0
201949,1207,2,0,0
201949,1209,2,0,0
201950,501,2,0,0
201950,601,2,0,0
201950,602,2,0,0
201950,1001,2,0,0
201950,1005,2,0,0
201950,1101,2,0,0
201950,1201,2,0,0
201950,1207,2,0,0
201950,1209,2,0,0
201951,501,2,0,0
201951,601,2,0,0
201951,602,2,0,0
201951,1001,2,0,0
201951,1005,2,0,0
201951,1101,2,0,0
201951,1201,2,0,0
201951,1207,2,0,0
201951,1209,2,0,0
201952,501,3,0,0
201952,601,3,0,0
201952,602,3,0,0
201952,1001,3,0,0
201952,1005,3,0,0
201952,1101,3,0,0
201952,1201,3,0,0
201952,1207,3,0,0
201952,1209,3,0,0
202001,501,3,0,5
202001,601,3,0,0
202001,602,3,0,0
202001,1001,3,0,5
202001,1005,3,0,15
202001,1101,3,0,10
202001,1201,3,0,0
202001,1207,3,0,15
202001,1209,3,0,0
202002,501,2,0.0714,9
202002,601,2,0.0714,0
202002,602,2,0.0714,0
202002,1001,2,0.0714,9
202002,1005,2,0.0714,21
202002,1101,2,0.0714,14
202002,1201,2,0.0714,0
202002,1207,2,0.0714,21
202002,1209,2,0.0714,0
202003,501,2,2.5,14
202003,601,2,2.5,0
202003,602,2,2.5,0
202003,1001,2,2.5,14
202003,1005,2,2.5,21
202003,1101,2,2.5,14
202003,1201,2,2.5,0
202003,1207,2,2.5,21
202003,1209,2,2.5,0
202004,501,3,5.5286,20
202004,601,3,5.5286,0
202004,602,3,5.5286,0
202004,1001,3,5.5286,14
202004,1005,3,5.5286,15
202004,1101,3,5.5286,20
202004,1201,3,5.5286,0
202004,1207,3,5.5286,21
202004,1209,3,5.5286,0
202005,501,3,1.5,15
202005,601,3,1.5,2
202005,602,3,1.5,2
202005,1001,3,1.5,18
202005,1005,3,1.5,14
202005,1101,3,1.5,21
202005,1201,3,1.5,0
202005,1207,3,1.5,25
202005,1209,3,1.5,0
202006,501,2,0,0
202006,601,2,0,7
202006,602,2,0,7
202006,1001,2,0,28
202006,1005,2,0,14
202006,1101,2,0,21
202006,1201,2,0,0
202006,1207,2,0,35
202006,1209,2,0,0
202007,501,2,0,24
202007,601,2,0,7
202007,602,2,0,7
202007,1001,2,0,28
202007,1005,2,0,14
202007,1101,2,0,27
202007,1201,2,0,0
202007,1207,2,0,35
202007,1209,2,0,0
202008,501,2,0,16
202008,601,2,0,10
202008,602,2,0,10
202008,1001,2,0,16
202008,1005,2,0,14
202008,1101,2,0,28
202008,1201,2,0,15
202008,1207,2,0,35
202008,1209,2,0,12
202009,501,2,0,0
202009,601,2,0,12
202009,602,2,0,12
202009,1001,2,0,0
202009,1005,2,0,11
202009,1101,2,0,25
202009,1201,2,0,30
202009,1207,2,0,25
202009,1209,2,0,24
202010,501,2,0,0
202010,601,2,0,14
202010,602,2,0,14
202010,1001,2,0,0
202010,1005,2,0,7
202010,1101,2,0,35
202010,1201,2,0,35
202010,1207,2,0,0
202010,1209,2,0,28
202011,501,2,0,0
202011,601,2,0,19
202011,602,2,0,19
202011,1001,2,0,25
202011,1005,2,0,7
202011,1101,2,0,15
202011,1201,2,0,35
202011,1207,2,0,0
202011,1209,2,0,33
202012,501,2,0,0
202012,601,2,0,21
202012,602,2,0,21
202012,1001,2,0,35
202012,1005,2,0,7
202012,1101,2,0,7
202012,1201,2,0,37
202012,1207,2,0,12
202012,1209,2,0,37
202013,501,2,0,0
202013,601,2,0,21
202013,602,2,0,21
202013,1001,2,0,35
202013,1005,2,0,7
202013,1101,2,0,7
202013,1201,2,0,42
202013,1207,2,0,42
202013,1209,2,0,42
202014,501,2,0,0
202014,601,2,0,36
202014,602,2,0,36
202014,1001,2,0,40
202014,1005,2,0,17
202014,1101,2,0,2
202014,1201,2,0,42
202014,1207,2,0,42
202014,1209,2,0,42
202015,501,2,0,0
202015,601,2,0,42
202015,602,2,0,42
202015,1001,2,0,42
202015,1005,2,0,21
202015,1101,2,0,0
202015,1201,2,0,42
202015,1207,2,0,42
202015,1209,2,0,30
202016,501,3,0,0
202016,601,3,0,42
202016,602,3,0,42
202016,1001,3,0,42
202016,1005,3,0,21
202016,1101,3,0,0
202016,1201,3,0,42
202016,1207,3,0,42
202016,1209,3,0,0
202017,501,2,0,0
202017,601,2,0,42
202017,602,2,0,42
202017,1001,2,0,48
202017,1005,2,0,21
202017,1101,2,0,0
202017,1201,2,0,48
202017,1207,2,0,42
202017,1209,2,0,0
202018,501,3,0,3
202018,601,3,0,42
202018,602,3,0,42
202018,1001,3,0,49
202018,1005,3,0,18
202018,1101,3,0,0
202018,1201,3,0,49
202018,1207,3,0,45
202018,1209,3,0,0
202019,501,3,0,7
202019,601,3,0,42
202019,602,3,0,42
202019,1001,3,0,49
202019,1005,3,0,14
202019,1101,3,0,0
202019,1201,3,0,49
202019,1207,3,0,49
202019,1209,3,0,0
202020,501,2,0,14
202020,601,2,0,42
202020,602,2,0,42
202020,1001,2,0,0
202020,1005,2,0,14
202020,1101,2,0,0
202020,1201,2,0,49
202020,1207,2,0,49
202020,1209,2,0,0
202021,501,2,0,18
202021,601,2,0,46
202021,602,2,0,46
