weekno,품종코드,등급코드,직팜산지코드,총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,year,week,week_start,평균단가(원)
2018_01,6,12,1121,62728.5,0.9176470588235296,8.8,-8.2,34.96764705882353,0.0,0.0,34,0.0,0.0,2018,01,2018-01-01,4941.0
2018_01,6,12,1122,8600.0,0.38,10.2,-8.2,57.92,0.0,0.0,5,0.0,0.0,2018,01,2018-01-01,5253.0
2018_01,6,12,1135,2300.0,2.525,8.6,-2.4,35.475,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,5435.0
2018_01,6,12,1136,14700.0,4.788461538461538,8.4,1.9,64.99615384615385,40.2,0.0,26,0.0,0.0,2018,01,2018-01-01,5210.0
2018_01,6,12,1138,13670.0,1.425,6.5,-2.9,34.0625,0.0,0.0,8,0.0,0.0,2018,01,2018-01-01,5391.0
2018_01,6,12,1141,300.0,0.2166666666666666,9.1,-8.3,46.51666666666667,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,5227.0
2018_01,6,12,1156,3960.0,-3.0,4.6,-10.4,50.225,0.0,0.0,8,0.0,0.0,2018,01,2018-01-01,5497.0
2018_01,6,12,1157,9320.0,0.3166666666666666,7.0,-7.0,36.68333333333333,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,5921.0
2018_01,6,12,1162,3140.0,-3.7545454545454544,2.5,-12.4,54.309090909090905,0.0,0.0,11,0.0,0.0,2018,01,2018-01-01,4339.0
2018_01,6,12,1164,2620.0,-3.22,2.9,-13.2,70.24,0.0,0.0,5,0.0,0.0,2018,01,2018-01-01,4222.0
2018_01,6,12,1166,380.0,-0.1250000000000001,7.7,-4.4,67.675,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,4463.0
2018_01,6,12,1168,3920.0,2.45,7.8,-2.6,33.2,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,5735.0
2018_01,6,12,1170,400.0,4.6,5.8,3.5,58.6,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,4580.0
2018_01,6,13,1000,3320.0,-3.971428571428572,1.6,-8.7,45.114285714285714,0.0,0.0,7,0.0,0.0,2018,01,2018-01-01,3357.0
2018_01,6,13,1001,322.0,-4.833333333333333,1.9,-11.7,66.13333333333333,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,2660.0
2018_01,6,13,1019,400.0,-1.65,3.9,-6.0,55.8,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,3325.0
2018_01,6,13,1021,200.0,,,,,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2275.0
2018_01,6,13,1022,12.0,-1.8,2.9,-7.0,55.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,3200.0
2018_01,6,13,1034,2620.0,-21.84,2.9,-99.0,54.32000000000001,0.0,0.0,5,0.0,0.0,2018,01,2018-01-01,2531.0
2018_01,6,13,1047,40.0,-4.9,-1.0,-9.1,52.1,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2600.0
2018_01,6,13,1071,80.0,-5.4,-0.5,-10.5,39.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2500.0
2018_01,6,13,1093,200.0,-0.4,0.6,-1.0,77.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2300.0
2018_01,6,13,1094,140.0,0.25,4.2,-1.9,59.3,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,1943.0
